"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","30","587-4893-1-ND","GMK212BBJ106KG-T","CAP CER 10UF 35V X5R 0805","C2","0","5,27000","kr 158,10"
"2","30","490-5951-1-ND","GRM1555C1H750JA01D","CAP CER 75PF 50V C0G/NP0 0402","C4","0","0,52400","kr 15,72"
"3","180","1655-1506-1-ND","S1MTR","DIODE GEN PURP 1KV 1A SMA","D1,3,5,7,9,11","0","0,74900","kr 134,82"
"4","180","L62301CT-ND","CMD15-21VRD/TR8","LED RED DIFFUSED 1206 SMD","D2,4,6,8,10,12","0","1,93850","kr 348,93"
"5","30","587-2973-1-ND","NRS8040T150MJGJ","FIXED IND 15UH 2.4A 65 MOHM SMD","L1","0","3,88100","kr 116,43"
"6","30","1195-3666-1-ND","14011213102000","TERM BLK 12P SIDE ENT 2.54MM SMD","P1","0","28,76520","kr 862,96"
"7","30","1195-3662-1-ND","14010813102000","TERM BLK 8P SIDE ENT 2.54MM SMD","P2","0","15,70040","kr 471,01"
"8","30","1195-3656-1-ND","14010213102000","TERM BLK 2P SIDE ENT 2.54MM SMD","P4","0","7,61440","kr 228,43"
"9","180","DMN2041L-7DICT-ND","DMN2041L-7","MOSFET N-CH 20V 6.4A SOT23","Q1,2,3,4,5,6","0","1,53910","kr 277,04"
"10","30","DMP3056L-7DICT-ND","DMP3056L-7","MOSFET P-CH 30V 4.3A SOT23","Q7","0","2,79700","kr 83,91"
"11","270","1276-3970-1-ND","RC1005F271CS","RES SMD 270 OHM 1% 1/16W 0402","R2,4,6,8,10,12,23,27,28","0","0,07250","kr 19,58"
"12","30","YAG2974CT-ND","RC0402FR-0713K3L","RES SMD 13.3K OHM 1% 1/16W 0402","R22","0","0,14000","kr 4,20"
"13","30","296-44151-1-ND","TPS54202DDCT","IC REG BUCK ADJ 2A TSOT23-6","U1","0","15,69700","kr 470,91"
"14","30","296-22055-1-ND","TMP102AIDRLT","SENSOR DIGITAL -40C-125C SOT563","U2","0","11,67680","kr 350,30"
"15","100","1276-6468-1-ND","CL21B104KBFNNNG","CAP CER 0.1UF 50V X7R 0805","C1,3","0","0,23250","kr 23,25"
"16","100","490-10511-1-ND","GRM21BR61A226ME51L","CAP CER 22UF 10V X5R 0805","C5,6","0","1,18250","kr 118,25"
"17","250","BZX384C3V3-E3-08GICT-ND","BZX384C3V3-E3-08","DIODE ZENER 3.3V 200MW SOD323","D13,14,15,16,17,18,19,20","0","0,71284","kr 178,21"
"18","100","L62305CT-ND","CMD15-21VGD/TR8","LED GREEN DIFFUSED 1206 SMD","D21,22,23","0","1,93850","kr 193,85"
"19","30","S7123-ND","PPPC202LFBN-RC","CONN HDR 40POS 0.1 GOLD PCB","P3 - REPLACEMENT","0","18,84300","kr 565,29"
"","","","","","","","Subtotal","kr 4Â 621,19"